V1	V2
2513260012_03d33305cf.jpg	<START> A black dog is running after a white dog in the snow . <END>
2513260012_03d33305cf.jpg	<START> Black dog chasing brown dog through snow <END>
2513260012_03d33305cf.jpg	<START> Two dogs chase each other across the snowy ground . <END>
2513260012_03d33305cf.jpg	<START> Two dogs play together in the snow . <END>
2513260012_03d33305cf.jpg	<START> Two dogs running through a low lying body of water . <END>
2903617548_d3e38d7f88.jpg	<START> A little baby plays croquet . <END>
2903617548_d3e38d7f88.jpg	<START> A little girl plays croquet next to a truck . <END>
2903617548_d3e38d7f88.jpg	<START> The child is playing croquette by the truck . <END>
2903617548_d3e38d7f88.jpg	<START> The kid is in front of a car with a put and a ball . <END>
2903617548_d3e38d7f88.jpg	<START> The little boy is playing with a croquet hammer and ball beside the car . <END>
3338291921_fe7ae0c8f8.jpg	<START> A brown dog in the snow has something hot pink in its mouth . <END>
3338291921_fe7ae0c8f8.jpg	<START> A brown dog in the snow holding a pink hat . <END>
3338291921_fe7ae0c8f8.jpg	<START> A brown dog is holding a pink shirt in the snow . <END>
3338291921_fe7ae0c8f8.jpg	<START> A dog is carrying something pink in its mouth while walking through the snow . <END>
3338291921_fe7ae0c8f8.jpg	<START> A dog with something pink in its mouth is looking forward . <END>
488416045_1c6d903fe0.jpg	<START> A brown dog is running along a beach . <END>
488416045_1c6d903fe0.jpg	<START> A brown dog wearing a black collar running across the beach . <END>
488416045_1c6d903fe0.jpg	<START> A dog walks on the sand near the water . <END>
488416045_1c6d903fe0.jpg	<START> Brown dog running on the beach . <END>
488416045_1c6d903fe0.jpg	<START> The large brown dog is running on the beach by the ocean . <END>
2644326817_8f45080b87.jpg	<START> A black and white dog with a red Frisbee standing on a sandy beach . <END>
2644326817_8f45080b87.jpg	<START> A dog drops a red disc on a beach . <END>
2644326817_8f45080b87.jpg	<START> A dog with a red Frisbee flying in the air . <END>
2644326817_8f45080b87.jpg	<START> Dog catching a red Frisbee . <END>
2644326817_8f45080b87.jpg	<START> The black dog is dropping a red disc on a beach . <END>
218342358_1755a9cce1.jpg	<START> A cyclist wearing a red helmet is riding on the pavement . <END>
218342358_1755a9cce1.jpg	<START> A girl is riding a bike on the street while wearing a red helmet . <END>
218342358_1755a9cce1.jpg	<START> A person on a bike wearing a red helmet , riding down a street . <END>
218342358_1755a9cce1.jpg	<START> A woman wears a red helmet and blue shirt as she goes for a bike ride in the shade . <END>
218342358_1755a9cce1.jpg	<START> Person in blue shirt and red helmet riding bike down the road <END>
2501968935_02f2cd8079.jpg	<START> A man dressed in a purple shirt and red bandanna smiles at the people watching him . <END>
2501968935_02f2cd8079.jpg	<START> A man on the street wearing leather chaps and a chainmail codpiece . <END>
2501968935_02f2cd8079.jpg	<START> A man wearing a purple shirt and black leather chaps poses for the camera . <END>
2501968935_02f2cd8079.jpg	<START> Man dressed in leather chaps and purple shirt stands in front of onlookers <END>
2501968935_02f2cd8079.jpg	<START> There is a man in a purple shirt , leather chaps and a red bandanna , standing near other men . <END>
2699342860_5288e203ea.jpg	<START> A boy wearing a red t-shirt is running through woodland . <END>
2699342860_5288e203ea.jpg	<START> A child runs near some trees . <END>
2699342860_5288e203ea.jpg	<START> A young boy is dancing around . <END>
2699342860_5288e203ea.jpg	<START> A young boy with a red short sleeved shirt and jeans runs by some trees . <END>
2699342860_5288e203ea.jpg	<START> The little boy in the red shirt stops to smile for the camera . <END>
2638369467_8fc251595b.jpg	<START> A girl in a white dress . <END>
2638369467_8fc251595b.jpg	<START> A little girl in white is looking back at the camera while carrying a water grenade . <END>
2638369467_8fc251595b.jpg	<START> A smiling young girl in braids is playing ball . <END>
2638369467_8fc251595b.jpg	<START> A young girl wearing white looks at the camera as she plays . <END>
2638369467_8fc251595b.jpg	<START> The girl is holding a green ball . <END>
2926786902_815a99a154.jpg	<START> A skier in a yellow jacket is airborne above the mountains . <END>
2926786902_815a99a154.jpg	<START> A skier jumps high in the air with a view of the mountains . <END>
2926786902_815a99a154.jpg	<START> A skiing man in a fluorescent jacket jumps very high and it looks as though he is flying . <END>
2926786902_815a99a154.jpg	<START> Somone is high in the air doing a ski jump . <END>
2926786902_815a99a154.jpg	<START> The skier in the green jacket and white pants appears to almost fly into the sky . <END>
2851304910_b5721199bc.jpg	<START> A photographer looks over the hills . <END>
2851304910_b5721199bc.jpg	<START> A woman in a red jacket is videotaping a natural landscape . <END>
2851304910_b5721199bc.jpg	<START> A woman with a camera looks out over rolling hills . <END>
2851304910_b5721199bc.jpg	<START> A woman with a camera on a tripod is looking at the view . <END>
2851304910_b5721199bc.jpg	<START> Lady in red shirt has her camera set up in the field to record something . <END>
3423802527_94bd2b23b0.jpg	<START> A bunch of girls in cheerleader outfits . <END>
3423802527_94bd2b23b0.jpg	<START> a large group of cheerleaders walking in a parade <END>
3423802527_94bd2b23b0.jpg	<START> Cheerleaders perform . <END>
3423802527_94bd2b23b0.jpg	<START> many cheerleaders wearing black , walk down the street . <END>
3423802527_94bd2b23b0.jpg	<START> Parade of cheerleaders wearing black , pink and white uniforms . <END>
3356369156_074750c6cc.jpg	<START> A blue boat with a yellow canopy is floating on calm waters . <END>
3356369156_074750c6cc.jpg	<START> A boat in the water . <END>
3356369156_074750c6cc.jpg	<START> A boat with a roof on green water . <END>
3356369156_074750c6cc.jpg	<START> The boat is in the middle of the water . <END>
3356369156_074750c6cc.jpg	<START> The solitude boat floats on the lake . <END>
2294598473_40637b5c04.jpg	<START> A dog catches a Frisbee in midair . <END>
2294598473_40637b5c04.jpg	<START> A dog catching a Frisbee . <END>
2294598473_40637b5c04.jpg	<START> A terrier mix catches a Frisbee in the air . <END>
2294598473_40637b5c04.jpg	<START> A white and black dog catching a Frisbee . <END>
2294598473_40637b5c04.jpg	<START> A white dog is leaping in the air with a green object in its mouth . <END>
1191338263_a4fa073154.jpg	<START> A little old lady sitting next to an advertisement . <END>
1191338263_a4fa073154.jpg	<START> An Asian woman waiting at an underground train stop . <END>
1191338263_a4fa073154.jpg	<START> An old woman sits in a transit station next to a backlit advertisement . <END>
1191338263_a4fa073154.jpg	<START> A woman sits in a subway station . <END>
1191338263_a4fa073154.jpg	<START> A woman with an umbrella is sitting at a station , with an Aquos commercial on the wall . <END>
2380765956_6313d8cae3.jpg	<START> A blond girl wearing a green jacket walks on a trail along side a metal fence . <END>
2380765956_6313d8cae3.jpg	<START> A girl in a green coat walks down a rural road playing a flute <END>
2380765956_6313d8cae3.jpg	<START> A young girl in a parka playing a flute while walking by a fenced in field . <END>
2380765956_6313d8cae3.jpg	<START> Girl in green and blue jacket walking past an enclosed field . <END>
2380765956_6313d8cae3.jpg	<START> Girl playing flute as she walks by fence in rural area . <END>
3197891333_b1b0fd1702.jpg	<START> A family of nine people , including four children , pose in front of a brick fireplace with a white mantle . <END>
3197891333_b1b0fd1702.jpg	<START> A family poses in front of the fireplace and Christmas tree . <END>
3197891333_b1b0fd1702.jpg	<START> A family posing by the mantle and christmas tree . <END>
3197891333_b1b0fd1702.jpg	<START> A happy family poses by the fireplace . <END>
3197891333_b1b0fd1702.jpg	<START> Two couples and four kids pose for a family picture . <END>
3119887967_271a097464.jpg	<START> Man in a sweater pointing at the camera . <END>
3119887967_271a097464.jpg	<START> One man is posing with arms outstretched and finger pointed while another stares from behind him . <END>
3119887967_271a097464.jpg	<START> The man in the black hat stands behind the man who is pointing his finger . <END>
3119887967_271a097464.jpg	<START> Two men look toward the camera , while the one in front points his index finger . <END>
3119887967_271a097464.jpg	<START> Two men , one wearing a black hat while the one in front points , standing in a hallway . <END>
2276499757_b44dc6f8ce.jpg	<START> A dog looks warily at the brown dog investigating his area . <END>
2276499757_b44dc6f8ce.jpg	<START> A large brown dog is looking at a medium sized black dog . <END>
2276499757_b44dc6f8ce.jpg	<START> A small black dog looks at a larger brown dog in a grassy field . <END>
2276499757_b44dc6f8ce.jpg	<START> The big brown dog looks at the small black dog in tall grass . <END>
2276499757_b44dc6f8ce.jpg	<START> There is a big dog looking at a little dog . <END>
2506892928_7e79bec613.jpg	<START> three children in a field with white flowers <END>
2506892928_7e79bec613.jpg	<START> Three children , one with a stuffed kitten , in a field of flowers . <END>
2506892928_7e79bec613.jpg	<START> three children play in the garden . <END>
2506892928_7e79bec613.jpg	<START> Three children pose among wildflowers . <END>
2506892928_7e79bec613.jpg	<START> Three kids palying with a toy cat in a garden . <END>
2187222896_c206d63396.jpg	<START> a boy in a red shirt , in front of a long blue wall , raises his eyebrow at the camera <END>
2187222896_c206d63396.jpg	<START> A boy in a red shirt with stripes standing near a blue , brick wall with handicap signs . <END>
2187222896_c206d63396.jpg	<START> An African American boy stands in front of a blue building in the handicapped space . <END>
2187222896_c206d63396.jpg	<START> The boy in the orange shirt looks backwards . <END>
2187222896_c206d63396.jpg	<START> The boy in the red shirt is next to a blue wall . <END>
2826769554_85c90864c9.jpg	<START> A brown dog is carrying a wet stick on the shore of the ocean . <END>
2826769554_85c90864c9.jpg	<START> A dog bounds across the sandy beach with a stick in his mouth and water splashing off his paws . <END>
2826769554_85c90864c9.jpg	<START> A wet , blond dog carries a stick on the shore . <END>
2826769554_85c90864c9.jpg	<START> The dog is running along the beach next to the ocean with a stick in its mouth . <END>
2826769554_85c90864c9.jpg	<START> The wet , brown dog has a stick in his mouth and is running in the sand next to the water . <END>
3097196395_ec06075389.jpg	<START> Two dogs are racing on a ractrack . <END>
